member_id,password,name,identification_number,birth_date,gender,phone_number,email,point,fraud_count
2725f170-4d8b-4,_mI0lTVIm2,손상호,8601051163968,1986-01-05,M,010-3083-7879,gangseoyun@example.net,464,0
e1a61356-0786-4,!sfLZsffu6,이민재,9404111919155,1994-04-11,F,061-673-4129,mgim@example.com,914,0
daf94d81-1938-4,fQZBfOIW@2,윤진호,9206091080351,1992-06-09,M,043-646-0068,sujini@example.org,890,0
f4875b4a-7ef0-4,GRS7VzsUl!,김민준,8509121334448,1985-09-12,F,016-727-5727,miyeong37@example.com,260,0
57f6c03b-25d7-4,m8WA)_%D^I,박민수,0108123304810,2001-08-12,F,051-145-2750,gimeungyeong@example.org,507,1
7677a32e-af54-4,zF@4NHVj7N,강서연,0112153067771,2001-12-15,M,032-275-5475,dgim@example.net,83,0
a7d78d48-be68-4,^VKB3PeEe(,윤재현,9004041263791,1990-04-04,F,042-827-3184,eunjujo@example.net,572,0
40f588a7-6bdf-4,e%7YVWe&*4,이성진,0007023237324,2000-07-02,F,042-642-2138,jimin74@example.com,327,0
632f5cb9-96a8-4,z(6ZOz%tK*,강성수,8507041849834,1985-07-04,F,063-597-8440,seoyeono@example.org,526,2
b272d3a0-5220-4,(L4TTOFf@D,홍현지,9710151844301,1997-10-15,M,063-201-8021,yyun@example.org,176,0
6acb2a9e-2b7b-4,@sEYaRchI0,이지영,9812141334088,1998-12-14,F,032-925-4475,minjun33@example.net,879,0
0d231739-da6e-4,RH(H48OztM,지우진,8501041641953,1985-01-04,F,043-148-8292,ujini@example.org,226,0
111f1fc9-bc4e-4,##1h&vBqZF,손상철,8712271318453,1987-12-27,F,044-997-9412,yeongho70@example.com,643,3
4869263e-67b1-4,7kC2eFwH%$,김우진,8508101922088,1985-08-10,F,052-360-5521,yyun@example.org,375,0
1ad3656a-d44f-4,#2Xodkmr8H,이수진,9010211026228,1990-10-21,M,041-770-9526,hyeonji24@example.com,138,0
7122935c-ba29-4,Py1NjtmDd#,박지후,9904261793323,1999-04-26,F,017-306-5459,misug28@example.net,361,0
4bb19e3c-44e2-4,g*6HyepCwT,이성민,8510191271908,1985-10-19,F,051-926-0126,rgim@example.net,500,0
cb2269ed-e7f5-4,BLT8C0sg$$,김재호,9608101038277,1996-08-10,F,016-327-3849,dgim@example.net,721,0
38d45320-a56e-4,)kU!IjxnD5,홍은서,9002091296354,1990-02-09,F,055-063-6974,gimseoyeong@example.net,966,0
850f5f24-33fd-4,@)G04Vb$08,박성현,9001071053573,1990-01-07,F,044-067-8035,ijeongnam@example.net,352,2
9920ffa7-5322-4,9B0k1fGdl$,이영숙,9511061405980,1995-11-06,M,010-7950-9833,gyeonghyibag@example.net,361,0
5e8fe993-afec-4,@AD)xeX18!,박우진,9101161003003,1991-01-16,F,061-039-4351,seoyeono@example.org,68,0
b3448c60-accf-4,+j5n1GL61x,오영일,9001121623762,1990-01-12,F,070-1186-8522,caeweon78@example.org,319,2
a7074574-ce80-4,6%2U5P2juu,김지연,9303211566064,1993-03-21,F,055-759-4724,sonjeongho@example.net,777,0
8f377ec3-4686-4,(H92vCyy)T,김은지,0001193166208,2000-01-19,M,033-189-2457,ugim@example.org,636,0
5f7f8215-c264-4,iqC*Kr*f)2,강상철,9311171215323,1993-11-17,M,017-648-5395,seonghyeon06@example.org,979,2
a62e2c0c-3349-4,!i6OgZwgy1,이은영,8803241821691,1988-03-24,F,010-1506-2120,gimhyeonjun@example.org,727,2
77ee4b9f-f53f-4,@nV@MYG+t3,김상현,9803201904560,1998-03-20,M,044-744-9585,mgim@example.com,508,0
26926592-4eb7-4,!5_$TEfXx3,김은영,9502121427385,1995-02-12,M,010-4698-0799,gimjeonghun@example.org,753,0
7eaa117c-2818-4,%1d7LKmB^s,김정남,9707111476048,1997-07-11,F,02-0047-1807,yeongsun85@example.org,563,0
0db15028-7b2d-4,Wt%@3jXm*d,이하은,8508021898407,1985-08-02,F,070-3287-7471,sangceol30@example.org,738,0
0f7bde7a-3879-4,!4DxrLPk7X,김하윤,9102131570040,1991-02-13,F,052-470-7235,hyejin67@example.org,697,0
9493d2c3-9fed-4,*6ULtdMdgT,이재호,9211191438856,1992-11-19,F,011-415-7954,gimmijeong@example.org,213,0
cde0aec1-4dc1-4,BQqV(6mm(0,김상훈,9802191539852,1998-02-19,M,031-545-4360,minjun33@example.net,338,0
86041f67-bee5-4,#$RKUs+1G9,김지영,9212271090925,1992-12-27,F,054-519-5516,gimbyeongceol@example.com,298,3
f39082f9-c4f5-4,Wv#u3VQf06,김민재,9811101576962,1998-11-10,M,042-571-5545,yeongjagim@example.net,807,0
5b39f0ca-f4ee-4,aV67TKnUy),문우진,9403191072507,1994-03-19,F,055-977-9666,lgang@example.org,765,3
77d02205-96cb-4,@q4ToskBp8,김상철,9810071186428,1998-10-07,M,02-4963-0396,gimhyeonjun@example.org,64,0
47df9298-a315-4,)zGawgyqb8,이숙자,9111211291889,1991-11-21,F,041-474-6937,ggweon@example.com,772,0
ed312a86-b91f-4,!6G8q3)DqV,이명숙,9207091440644,1992-07-09,F,011-516-4598,seongyeonggil@example.net,350,1
52a496c6-5f5f-4,5kXV4nw&!6,이성호,9604231620829,1996-04-23,F,02-5589-9681,hyejingang@example.net,369,0
fc6eef1d-96d5-4,$s_8MIe(3&,고건우,9308021869305,1993-08-02,M,064-746-3819,gyeongsugyun@example.org,696,0
4f5db359-feb7-4,T$a7Sj*CXg,이민재,0004213570393,2000-04-21,F,053-323-2090,gimjeongnam@example.net,189,1
8f060286-5dce-4,mC3GLvtk2&,이민준,0207033973781,2002-07-03,M,070-9871-3959,migyeongyun@example.net,168,0
02c75156-5941-4,@mJg4SSk$$,배영미,9208031664465,1992-08-03,F,061-405-0051,jeonghoi@example.net,92,0
64c8beab-9628-4,)I8B(+5g87,문미정,9405011704366,1994-05-01,F,019-713-3126,jungsu82@example.net,794,0
b75fe812-4f82-4,b+O0_RwN(g,이옥자,9111211609759,1991-11-21,M,044-543-8644,yejin33@example.org,577,0
112e8d2d-7ca9-4,*@4BIMogvJ,송지원,8312091506782,1983-12-09,M,051-066-3092,yeongilim@example.org,83,0
b5fea175-7753-4,ua6@&BiT+p,권영식,9010281550131,1990-10-28,F,017-142-9332,xi@example.net,44,2
27504119-c2f3-4,MXj8ApQm%B,김지혜,9906271056246,1999-06-27,M,063-231-8818,sangceol30@example.org,609,0
f299ebba-6ba1-4,(6Bb8KeiVl,배광수,8903131480222,1989-03-13,F,064-722-6349,jimin74@example.com,722,0
66a4bcf0-a6f4-4,wX^4FOzRm*,오은정,0111233080862,2001-11-23,F,051-808-1619,yeongho70@example.com,819,0
3cb898a6-901f-4,G1qUDe_y@7,장현숙,9710271118243,1997-10-27,F,044-786-2880,seunghyeono@example.com,335,0
ed43ea92-703a-4,g!8YnLwJSw,권종수,9512231448727,1995-12-23,M,064-759-2153,hyejin67@example.org,39,0
1b9d9194-7ed1-4,%55GO6qqL$,오춘자,8611191280513,1986-11-19,F,017-093-4761,eunji21@example.net,625,0
6aec150b-5fea-4,*ap9gjBz)2,노민지,9804261782527,1998-04-26,M,02-8716-5219,gimseohyeon@example.net,556,0
63376c6b-b3bb-4,yRoKjFxi&0,이정훈,9902271850116,1999-02-27,F,061-757-2751,xi@example.net,583,0
542dcff7-165b-4,_fqV8JuLT8,한경수,9508111685125,1995-08-11,M,044-610-6793,jeongsiggim@example.org,186,1
39c833bc-37bf-4,6)0ysCZaa%,윤광수,9812051059306,1998-12-05,M,031-364-0741,jeongsig80@example.com,715,0
f0099130-d2d9-4,Xl3TRQvE(I,성민석,8905261609251,1989-05-26,F,042-068-0949,kcoe@example.net,55,0
2939d777-68b8-4,(kZx&6%i!3,이주원,0008123994497,2000-08-12,F,054-016-4540,nbag@example.org,185,0
fef75720-9705-4,^1XR&wPv&5,박진우,0001153436151,2000-01-15,M,043-595-5990,jihunbag@example.org,26,0
c3c07710-14ac-4,F@5Mwened2,이준혁,9706011269057,1997-06-01,F,055-119-8905,oyejin@example.net,487,0
3b362f45-511c-4,g%4K_nYB#r,이은영,9702281086408,1997-02-28,M,033-789-3077,mgim@example.com,856,0
3da5f265-be2b-4,!d3!XLIl)S,김영수,8502111517028,1985-02-11,F,019-038-0161,ryudoyun@example.org,982,0
5aa2e7b4-dd38-4,!p#441Sm)i,권지원,9001011652822,1990-01-01,M,053-998-1290,mijeongbag@example.org,798,0
6719e1db-6537-4,x#&3YzVRwy,한영희,9403211395076,1994-03-21,M,016-146-3195,rgim@example.net,231,1
2623af4b-9039-4,7&p8iPxd73,이지훈,0104213452353,2001-04-21,M,043-963-6510,eungyeongi@example.com,899,3
b4654267-d20a-4,@hKCFy5Q!3,오서연,9007151592690,1990-07-15,M,010-2542-2564,yeonggilha@example.com,952,3
d04260fa-e4d9-4,J3K%IpDy*Z,이영희,0010013622005,2000-10-01,M,053-715-7680,hyejingang@example.net,39,0
8f61e1aa-f6cd-4,p04fxQSW^c,이영길,0201253199226,2002-01-25,M,070-2890-9996,yeongjagim@example.net,428,0
80f3a0f9-44d8-4,u$O46iF1Uh,전채원,8907191532583,1989-07-19,F,063-491-1430,wgim@example.com,74,0
de866df9-6e07-4,4TRXtCMi%7,이민재,9303141951663,1993-03-14,F,041-121-4038,donghyeonhwang@example.net,390,0
714ef3ef-bcd9-4,f@2l8WsT@^,박보람,9004131376914,1990-04-13,F,017-994-8875,jeongsu58@example.org,906,0
08a757f0-9764-4,8%7EOaAr^^,송성현,9309121809973,1993-09-12,F,053-653-1679,sangceol30@example.org,41,0
20058fb3-d852-4,R(4vAks*k*,김지은,9010111618026,1990-10-11,M,017-805-5973,yyun@example.org,786,0
782d0d5d-399c-4,6NjNo+p3^c,김승현,9807241661797,1998-07-24,M,053-837-0113,yangujin@example.net,173,1
8371f4df-19f2-4,v1@U9CzaUX,남정남,0006163629481,2000-06-16,F,044-296-7609,mgim@example.net,353,1
58efa23d-c574-4,3t^2U6Bed!,윤지혜,9103211578034,1991-03-21,M,011-977-3780,zgim@example.net,740,3
55514edd-a2b8-4,w43vY@b$(E,송영희,9910111460486,1999-10-11,M,062-391-8821,yeongjagim@example.net,698,0
16147c4a-9f1f-4,)%6Jg6$*_y,박서윤,9807091635221,1998-07-09,F,062-379-7156,lgang@example.org,169,0
522836e7-5453-4,)GFR2fSwX2,이성수,9701141967116,1997-01-14,M,042-057-1896,jeongsiggim@example.org,173,0
6e12e226-fc8a-4,!7DvwX7&Vs,김도윤,9403071230827,1994-03-07,F,032-399-0559,gimeungyeong@example.org,921,0
e4b11c01-58fc-4,)BJHH7lW30,김민준,9610241451642,1996-10-24,F,062-923-9546,hyejin67@example.org,643,3
b4da2f16-25bf-4,yk!5SmjrNd,윤혜진,0109113826843,2001-09-11,F,062-796-3875,gimmijeong@example.org,354,0
594cf875-0267-4,)cd5AaBb1f,곽예은,9807161846612,1998-07-16,M,016-728-3079,sugja73@example.net,5,0
cb85f495-6e64-4,Gx0VJd5Fn_,이현주,0510203813998,2005-10-20,M,064-744-3171,pi@example.org,273,0
76fe492e-1e8e-4,(1qFAAgQsb,심진호,9112241926100,1991-12-24,M,041-380-8299,gyeongsui@example.com,913,0
5a12b73e-3ca8-4,WBT0UrEp*+,김영수,0306273751759,2003-06-27,F,042-836-6435,lgang@example.org,682,0
67d79d5a-af54-4,sg6hXU$Yv*,이현주,0008263328818,2000-08-26,M,019-461-6653,lgim@example.net,26,0
c2d5bcaa-807e-4,_xg8X7Ry6^,박미영,9411281286937,1994-11-28,F,041-442-3255,gimyeonghyi@example.org,270,3
1520181f-e799-4,Sn0M8LVg4!,김민재,9801191262790,1998-01-19,F,044-782-0728,ogsun78@example.org,951,0
4ea42568-1bb3-4,%5S^jtZVk&,송서현,8702211965387,1987-02-21,M,032-814-6645,iyeongsun@example.com,491,0
d3c85d70-ac9e-4,nh0KjsWl@a,양지은,0110043487867,2001-10-04,F,019-214-6554,yeongho02@example.net,185,0
ce72a0a2-2b76-4,r0Z^)RyV$e,조지은,9304181524927,1993-04-18,M,062-685-8300,ei@example.com,985,0
9c2146af-7752-4,_tiNbguvy9,김승민,9502161696814,1995-02-16,F,061-159-1561,yunminji@example.net,235,0
17fba9eb-5f02-4,*wZLJ2yf+0,오현정,0002103251202,2000-02-10,M,033-072-3590,hyeonjunbag@example.com,7,0
9fc7ff25-dc2b-4,%5N9ScIdey,김서윤,9201281689717,1992-01-28,F,017-833-8464,ggo@example.net,895,0
82112da4-05e2-4,+9NFgk#KID,김재호,9506281103374,1995-06-28,F,064-711-0126,yyun@example.org,230,0
31798679-f064-4,!+9KqQrxtP,김민재,9101161585114,1991-01-16,F,016-043-1447,yunseojang@example.org,231,0
c738effa-9b20-4,_AKRJI2gn9,김영순,9012121623437,1990-12-12,F,043-356-1076,xgim@example.com,289,0
aa757a20-1dcd-4,@0BWRnUe)2,최지은,8407201216587,1984-07-20,M,016-912-4289,ijihu@example.net,671,1
badb0a0f-1059-4,hXO49NjbA@,배도윤,8812121564564,1988-12-12,M,016-861-6535,wcoe@example.net,491,0
6b0eae35-4933-4,^l5ZCrIiX5,이진우,9605041725325,1996-05-04,F,017-170-4273,eungyeong68@example.com,234,0
6582ef91-9791-4,hv4&(HNz*9,김수민,9602221667879,1996-02-22,M,051-524-3146,gimseongsu@example.org,691,0
e6909be8-5972-4,#7G!wsaTd7,김시우,8907171473580,1989-07-17,M,033-671-0763,qgim@example.net,483,1
e8193ef4-6094-4,_5NBu&*n6W,김지연,9106131360906,1991-06-13,M,018-685-2523,bagareum@example.com,269,0
12ee5911-bd60-4,7jq(D80w#3,주은경,9104241521250,1991-04-24,M,052-588-6441,hyeonji24@example.com,975,0
20ed06f8-e8ba-4,(C_y3ZaMA!,이지원,0301013680219,2003-01-01,M,061-327-4219,fgang@example.org,83,2
f08e31ad-3df1-4,!z1KzdaJ(%,허경숙,9512151308961,1995-12-15,M,033-071-4385,ggweon@example.com,948,1
0b187466-5a39-4,VrWx$iXU+8,류숙자,9804081667063,1998-04-08,F,016-296-5966,ryudoyun@example.org,999,0
11e65213-b71d-4,&oVQXjtB(3,김성민,9301201409555,1993-01-20,F,042-431-1930,jihunbag@example.org,656,0
7f0d3cab-3074-4,be)XhtD3!0,박채원,9503201814114,1995-03-20,M,062-953-2147,bagdohyeon@example.net,708,1
b265f607-ecd7-4,m#)2RZy&*e,심정식,9003201263953,1990-03-20,F,041-379-6452,mgim@example.com,520,1
b2ae177e-5bda-4,$_y3N3ovDb,노정식,9309041817187,1993-09-04,F,010-3576-3822,jaehoi@example.net,182,0
37e859fc-6e0b-4,!n9cGBjm)M,김정자,9108181526461,1991-08-18,F,016-575-0139,gimseongmin@example.net,839,0
f55ea1a2-ef10-4,CNK2h^N@$1,권승민,9704151357607,1997-04-15,M,042-001-1791,gimhayun@example.net,565,1
8a068dab-1fa8-4,)Qgnc8Sy77,지현지,9907251736347,1999-07-25,F,044-289-9247,gimjeonghun@example.org,144,0
2bd39ff7-2aa6-4,+7MaVD6h71,손미숙,9704151457928,1997-04-15,M,017-645-6565,bagsiu@example.org,192,0
b991e03d-6ef2-4,qE0YBriG$t,이정숙,9505171102505,1995-05-17,M,02-5195-5859,ijihu@example.net,784,0
054a5fff-10bd-4,BQ30Qpfp%B,주지현,9308131367326,1993-08-13,M,053-728-7814,qbag@example.net,805,0
0ce2e29c-25f5-4,!NWG5QWD5a,최상호,8306251835288,1983-06-25,F,018-742-6033,vbag@example.org,155,0
